concept,football,basketball,tennis,cricket,swimming,running,volleyball,boxing,cycling,hockey,pizza,pasta,burger,rice,chocolate,salad,soup,bread,cheese,coffee,doctor,teacher,engineer,lawyer,chef,architect,nurse,journalist,programmer,accountant,happiness,sadness,anger,fear,surprise,disgust,love,pride,anxiety,excitement,computer,smartphone,robot,internet,algorithm,database,software,sensor,network,cloud
chef,0.14940369,0.16640024,0.18680297,0.22542635,0.14974633,0.17617232,0.19163415,0.15747076,0.1657849,0.20812467,0.3449468,0.29899138,0.38842964,0.2983979,0.27781528,0.35968548,0.34461987,0.37992495,0.31190994,0.22686878,0.3806429,0.45112032,0.39068848,0.39619696,1.0,0.42469674,0.43768018,0.43980175,0.43666756,0.39153716,0.056037895,0.027710397,0.08766679,0.007973015,0.09295827,0.09398751,0.12247859,0.075935125,0.03158555,0.07134029,0.20423286,0.23407991,0.25237694,0.13319075,0.114017926,0.0789985,0.1079156,0.25646794,0.13586383,0.0558327
architect,0.09528152,0.03588534,0.03894285,0.104175106,0.12576413,0.12973398,0.06806191,0.09133509,0.090620674,0.02221296,0.11278623,0.116031416,0.1176485,0.051606208,0.042077605,0.059879776,0.0511804,0.1255253,0.06974663,0.040155552,0.3227752,0.39009905,0.619346,0.3154805,0.42469674,1.0000002,0.30944306,0.30229822,0.4416992,0.2649027,0.035618942,-0.0069768224,0.08846697,0.12573369,0.021039177,0.07445632,0.10503048,0.10417329,0.14564717,0.11225787,0.15710315,0.13757166,0.18770482,0.10172308,0.12316973,0.16604722,0.053037237,0.15845658,0.11174407,0.0030683596
nurse,0.20646524,0.18552499,0.16441403,0.19557962,0.1953694,0.24835238,0.18005373,0.185312,0.23981342,0.2343646,0.06877989,0.085014164,0.14237423,0.046278678,0.09682288,0.100578785,0.1508179,0.015897164,0.22412214,0.09241002,0.6764506,0.506319,0.36666486,0.44978455,0.43768018,0.30944306,1.0000001,0.4283881,0.37264767,0.3344413,0.10544843,0.13953201,0.09789194,0.09828936,0.08636463,0.0770714,0.30977005,0.101863906,0.1414899,0.106556,0.19284253,0.21233702,0.17608622,0.112469435,0.06902396,0.17301317,0.027450558,0.21928003,0.081213705,0.043684363
journalist,0.17075755,0.13177967,0.15915486,0.23034725,0.19984478,0.2614685,0.120257914,0.18539017,0.21341059,0.14813077,0.11665432,0.12977013,0.21426252,0.13973168,0.08116971,0.18934096,0.21780586,0.16061348,0.14909261,0.22060922,0.45433912,0.5029944,0.38783658,0.4803243,0.43980175,0.30229822,0.4283881,0.9999999,0.39170578,0.43539065,0.022429468,0.054444086,0.06253192,0.07168289,0.17825237,0.027024858,0.11267577,0.062186107,0.12016199,0.10327835,0.20607083,0.26937863,0.19536467,0.11894858,0.066480726,0.16186243,0.0428518,0.25866732,0.15673688,0.100700304
programmer,0.17929347,0.15394358,0.16601303,0.18674147,0.17407465,0.1942471,0.16073051,0.16782443,0.16760302,0.12951897,0.12850001,0.13871345,0.106353045,0.067642145,0.12271287,0.10674054,0.10281871,0.19716416,0.087698236,0.15506458,0.37224716,0.50152516,0.6160697,0.4671781,0.43666756,0.4416992,0.37264767,0.39170578,1.0000001,0.42156392,0.12514257,0.09449534,0.11323162,0.07625944,0.117087856,0.08617422,0.123407416,0.1341255,0.10344876,0.1588341,0.44471154,0.27667856,0.30145848,0.22363785,0.21879767,0.31256393,0.31565303,0.18868414,0.16950712,0.1294114
accountant,0.11098582,0.076831385,0.105835944,0.16953821,0.12961407,0.19686258,0.036838617,0.10285865,0.20761596,0.12578869,0.0666901,0.043140374,0.119105265,0.024309564,0.045476787,0.060578015,0.05638397,0.15299511,0.1138282,0.1171434,0.3893118,0.42797822,0.30723798,0.48922515,0.39153716,0.2649027,0.3344413,0.43539065,0.42156392,1.0,0.053179294,0.030694105,0.06195183,-0.010669617,0.10304455,0.08785482,0.08596347,0.12110634,0.07634496,0.038214624,0.2699895,0.18845257,0.17651762,0.17305645,0.11021413,0.30564994,0.12179424,0.12093122,0.16192025,0.14671773
happiness,0.2506886,0.1735056,0.15723719,0.25168008,0.11778734,0.21316434,0.14143838,0.16184852,0.2338703,0.18902062,0.14102684,0.10535328,0.08548065,-0.016842803,0.19025704,0.051388294,0.039552256,0.106002614,0.05138359,0.21880196,0.105338305,0.053009406,0.09888602,0.056561098,0.056037895,0.035618942,0.10544843,0.022429468,0.12514257,0.053179294,1.0,0.6634201,0.5295793,0.27761167,0.27305603,0.43739465,0.49027658,0.5628915,0.37694958,0.6035354,0.13954753,0.16891848,0.16283232,0.15587863,0.082176186,0.09699027,0.09119836,0.13638923,0.1472284,0.058838643
sadness,0.19711477,0.17516784,0.1230644,0.16275135,0.08526459,0.0827273,0.08186486,0.21270096,0.1430513,0.096151605,0.056472316,0.059441317,0.044673793,0.001840963,0.1751821,0.03935115,0.11649245,0.047789205,0.028311353,0.11219762,0.17215133,0.084559456,0.03948273,0.08040637,0.027710397,-0.0069768224,0.13953201,0.054444086,0.09449534,0.030694105,0.6634201,1.0,0.5744816,0.33728838,0.32499135,0.50179213,0.39866912,0.4060375,0.4481266,0.42018932,0.091794,0.15265249,0.0531392,0.12146869,0.06300508,0.07140916,0.08487812,0.09081566,0.13576052,0.050901465
anger,0.14638498,0.17426008,0.17310578,0.1724303,0.0862448,0.09379658,0.17071788,0.31441033,0.16668092,0.15518105,0.08768743,0.09073055,0.040847987,0.06716275,0.13146912,-0.025557384,0.086448,0.07972788,0.029453993,0.15461051,0.12762146,0.13451271,0.102746606,0.10844441,0.08766679,0.08846697,0.09789194,0.06253192,0.11323162,0.06195183,0.5295793,0.5744816,0.9999998,0.43303508,0.42109782,0.5774751,0.3235492,0.42593437,0.4897834,0.54551804,0.1389989,0.14580539,0.13696238,0.13752069,0.009670265,0.061942197,0.085245244,0.10073523,0.15625466,0.05644504
fear,0.10057206,0.095254146,0.07053426,0.08624469,0.08626872,0.09850212,0.06653258,0.14291646,0.12204671,0.12404927,0.018933967,0.036725488,0.046080954,0.0046795076,0.103051886,-0.0034452819,0.031030431,0.024455657,0.070539,0.05943706,0.06473951,0.099102356,0.08899929,0.011217701,0.007973015,0.12573369,0.09828936,0.07168289,0.07625944,-0.010669617,0.27761167,0.33728838,0.43303508,1.0000002,0.49215937,0.45872328,0.2698699,0.28342995,0.6650652,0.4818226,0.09361647,0.12041724,0.10101705,0.032155335,-0.032711558,0.0842178,0.004785121,0.18616408,0.105651386,0.0056944205
surprise,0.11071834,0.10718876,0.0883368,0.109057784,0.039303556,0.051110927,0.054160275,0.13262841,0.067390926,0.07050331,0.13530424,0.12640199,0.0736224,0.040843487,0.14876097,0.09137598,0.03710235,0.10202496,0.08978554,0.13081647,0.122478776,0.13728741,0.05100409,0.088750936,0.09295827,0.021039177,0.08636463,0.17825237,0.117087856,0.10304455,0.27305603,0.32499135,0.42109782,0.49215937,1.0000002,0.4360928,0.23693562,0.37075612,0.3718845,0.5226042,0.16619515,0.16808233,0.147428,0.09637737,-0.064515136,0.11692594,0.07094347,0.21012518,0.20855837,0.059317037
disgust,0.08383651,0.07344157,0.05808753,0.07757206,0.026606314,0.056625944,0.017099395,0.11781415,0.073009185,0.027360192,0.14551044,0.10613717,0.09704233,0.08793463,0.18446706,0.09325488,0.13233356,0.09939464,0.12953782,0.093374915,0.12394958,0.09696379,0.034690045,0.02616251,0.09398751,0.07445632,0.0770714,0.027024858,0.08617422,0.08785482,0.43739465,0.50179213,0.5774751,0.45872328,0.4360928,1.0000001,0.3406049,0.3638975,0.2791371,0.3955139,0.12202224,0.10957789,0.08525739,0.08450568,-0.011713637,0.08115803,0.1054565,0.13100451,0.15619197,0.008194027
love,0.23908284,0.18138272,0.15257064,0.24703628,0.16295631,0.22390442,0.120127365,0.13867863,0.17861335,0.16637212,0.14177121,0.12420958,0.15882096,0.12044342,0.22369158,0.14041437,0.19023675,0.10966596,0.15066704,0.19291155,0.19238907,0.1603356,0.14945723,0.10952413,0.12247859,0.10503048,0.30977005,0.11267577,0.123407416,0.08596347,0.49027658,0.39866912,0.3235492,0.2698699,0.23693562,0.3406049,0.9999999,0.38842788,0.25433403,0.37875247,0.15665948,0.21179682,0.13886802,0.11748639,-0.0039432496,0.14430396,0.06115833,0.21737249,0.14479932,0.03663945
pride,0.19748728,0.12994765,0.110175036,0.17145255,0.10838218,0.18127449,0.11859118,0.107527345,0.19244865,0.15382577,0.08832818,0.057163924,0.09764464,0.008886411,0.06919503,0.042294778,0.045860685,0.053464122,0.05909167,0.09563975,0.038317706,0.13734561,0.1417206,0.031314816,0.075935125,0.10417329,0.101863906,0.062186107,0.1341255,0.12110634,0.5628915,0.4060375,0.42593437,0.28342995,0.37075612,0.3638975,0.38842788,0.99999964,0.25577813,0.41726536,0.087390915,0.1446241,0.13081263,0.07724713,0.004120378,0.059639115,0.056706224,0.15229028,0.097858585,0.009046761
anxiety,0.10677749,0.13456683,0.09751736,0.10573585,0.11605671,0.16057289,0.069237515,0.16546011,0.13167347,0.11290191,0.03781614,0.07290442,0.035574004,0.0023646392,0.08307636,0.016714875,0.12758988,0.02603776,0.028326746,0.11324696,0.16698655,0.12692484,0.11459845,0.047060013,0.03158555,0.14564717,0.1414899,0.12016199,0.10344876,0.07634496,0.37694958,0.4481266,0.4897834,0.6650652,0.3718845,0.2791371,0.25433403,0.25577813,1.0000001,0.5517078,0.12881929,0.14665596,0.12817761,0.09698807,0.019526096,0.09813122,-0.01116272,0.20625117,0.18211627,0.012905902
excitement,0.21936919,0.20843273,0.17936358,0.24657634,0.21017575,0.33495492,0.15408695,0.26231897,0.28499582,0.21608858,0.12842606,0.097823024,0.095895655,0.00031594373,0.1353567,0.023625469,0.0669409,0.10864503,0.05080197,0.21659899,0.06130984,0.110559046,0.10960289,0.052587338,0.07134029,0.11225787,0.106556,0.10327835,0.1588341,0.038214624,0.6035354,0.42018932,0.54551804,0.4818226,0.5226042,0.3955139,0.37875247,0.41726536,0.5517078,0.99999994,0.1578688,0.1399678,0.17979646,0.111751094,0.007044059,0.07612022,0.035321157,0.14151795,0.12562743,-0.009655611
computer,0.2656602,0.25275952,0.24551013,0.2706154,0.16706787,0.24174225,0.14405522,0.14242221,0.14922306,0.20514469,0.12412974,0.123227395,0.13591996,0.104147494,0.17583042,0.14417312,0.09998581,0.14905441,0.1663174,0.20225891,0.21524264,0.2695688,0.30103183,0.17184189,0.20423286,0.15710315,0.19284253,0.20607083,0.44471154,0.2699895,0.13954753,0.091794,0.1389989,0.09361647,0.16619515,0.12202224,0.15665948,0.087390915,0.12881929,0.1578688,1.0,0.54327595,0.51059693,0.4283212,0.24438928,0.35362816,0.6038102,0.46677017,0.47537428,0.31768534
smartphone,0.27418682,0.2376176,0.27537286,0.32673448,0.2218802,0.22711444,0.27857098,0.18948151,0.2447601,0.20440298,0.2324442,0.18686767,0.20216367,0.165257,0.15022051,0.22922066,0.21953197,0.1379869,0.13171424,0.18690439,0.2220193,0.23555018,0.24704263,0.20915294,0.23407991,0.13757166,0.21233702,0.26937863,0.27667856,0.18845257,0.16891848,0.15265249,0.14580539,0.12041724,0.16808233,0.10957789,0.21179682,0.1446241,0.14665596,0.1399678,0.54327595,1.0000001,0.24336015,0.41889453,0.12849033,0.19759938,0.4090087,0.39710516,0.43270785,0.19407809
robot,0.27913168,0.2802782,0.15990311,0.23812413,0.25048995,0.21392828,0.21277626,0.12205346,0.18256378,0.28703988,0.20330867,0.19021025,0.16647837,0.10169772,0.19163108,0.10529731,0.059095062,0.15297808,0.23822951,0.16451773,0.21987951,0.27189514,0.2876984,0.109357044,0.25237694,0.18770482,0.17608622,0.19536467,0.30145848,0.17651762,0.16283232,0.0531392,0.13696238,0.10101705,0.147428,0.08525739,0.13886802,0.13081263,0.12817761,0.17979646,0.51059693,0.24336015,1.0000002,0.18919425,0.20583981,0.23106566,0.2511803,0.3691944,0.23239061,0.25472748
internet,0.16649263,0.15330707,0.2648406,0.25443012,0.15383476,0.14524148,0.19726413,0.15955013,0.2136821,0.16517468,0.10130587,0.0492882,0.073454745,0.009657044,0.12025525,0.08806231,0.058038745,0.11559799,0.09067051,0.0853367,0.16711056,0.16247402,0.14139275,0.12714666,0.13319075,0.10172308,0.112469435,0.11894858,0.22363785,0.17305645,0.15587863,0.12146869,0.13752069,0.032155335,0.09637737,0.08450568,0.11748639,0.07724713,0.09698807,0.111751094,0.4283212,0.41889453,0.18919425,1.0,0.18777266,0.22526518,0.30507264,0.20992213,0.5234633,0.42727643
algorithm,0.11547984,0.094445795,0.049900994,0.1161966,0.052961443,0.025545187,0.06244558,0.061543845,0.09424195,0.065798305,0.036751848,0.016618324,0.012389243,0.026000373,0.03777718,0.050279427,-0.050846152,0.013848566,0.044061404,0.04955963,0.08362512,0.06387115,0.16185059,0.07261185,0.114017926,0.12316973,0.06902396,0.066480726,0.21879767,0.11021413,0.082176186,0.06300508,0.009670265,-0.032711558,-0.064515136,-0.011713637,-0.0039432496,0.004120378,0.019526096,0.007044059,0.24438928,0.12849033,0.20583981,0.18777266,1.0,0.22598997,0.20923945,0.118024796,0.12500632,0.10669454
database,0.12809132,0.104184054,0.13168643,0.172739,0.06403433,0.13864604,0.06959218,0.14065608,0.114034414,0.06842107,0.11351434,0.16513996,0.15380561,0.07895428,0.12535346,0.13119474,0.06770049,0.12236449,0.19564752,0.15616965,0.14259976,0.17331335,0.1576325,0.16411656,0.0789985,0.16604722,0.17301317,0.16186243,0.31256393,0.30564994,0.09699027,0.07140916,0.061942197,0.0842178,0.11692594,0.08115803,0.14430396,0.059639115,0.09813122,0.07612022,0.35362816,0.19759938,0.23106566,0.22526518,0.22598997,0.9999999,0.4121313,0.2854187,0.36067143,0.35547435
software,0.11272763,0.097501814,0.13163419,0.16618446,0.081606396,0.23806477,0.07779203,0.09617408,0.143104,0.08524971,0.049457997,0.053435404,0.085339054,0.06963345,0.13172492,0.08046819,0.046813067,0.05088208,0.05705575,0.069609754,0.051216748,0.06505236,0.14423275,0.104849644,0.1079156,0.053037237,0.027450558,0.0428518,0.31565303,0.12179424,0.09119836,0.08487812,0.085245244,0.004785121,0.07094347,0.1054565,0.06115833,0.056706224,-0.01116272,0.035321157,0.6038102,0.4090087,0.2511803,0.30507264,0.20923945,0.4121313,1.0000001,0.29990178,0.35433364,0.2559474
sensor,0.25988615,0.17296553,0.17940494,0.21426795,0.14193283,0.14647867,0.11584768,0.08868874,0.17265965,0.2533385,0.10327652,0.10254988,0.12378965,0.13939807,0.23249283,0.102816254,0.08746359,0.1579026,0.19225284,0.16991764,0.22778407,0.28800026,0.2713296,0.13148203,0.25646794,0.15845658,0.21928003,0.25866732,0.18868414,0.12093122,0.13638923,0.09081566,0.10073523,0.18616408,0.21012518,0.13100451,0.21737249,0.15229028,0.20625117,0.14151795,0.46677017,0.39710516,0.3691944,0.20992213,0.118024796,0.2854187,0.29990178,1.0000001,0.4155529,0.11331366
network,0.1629537,0.21016486,0.2510885,0.21328562,0.12428663,0.10145603,0.19649759,0.20991793,0.15764636,0.1555109,0.079447776,0.08845152,0.11183465,0.12664393,0.1328555,0.12591681,0.11592691,0.13214403,0.13211936,0.16337657,0.1581655,0.19074783,0.12438392,0.105167106,0.13586383,0.11174407,0.081213705,0.15673688,0.16950712,0.16192025,0.1472284,0.13576052,0.15625466,0.105651386,0.20855837,0.15619197,0.14479932,0.097858585,0.18211627,0.12562743,0.47537428,0.43270785,0.23239061,0.5234633,0.12500632,0.36067143,0.35433364,0.4155529,1.0000002,0.3313212
cloud,0.047432512,0.07116979,0.085713714,0.12109807,0.05352519,0.05901438,0.08180058,0.04215265,0.05652512,0.10080689,-0.008473209,0.008275166,0.06698616,0.07364552,0.048112795,0.11889762,0.079458475,0.009732028,0.06429805,0.095094964,0.032605134,0.025097258,0.0025880071,0.08306442,0.0558327,0.0030683596,0.043684363,0.100700304,0.1294114,0.14671773,0.058838643,0.050901465,0.05644504,0.0056944205,0.059317037,0.008194027,0.03663945,0.009046761,0.012905902,-0.009655611,0.31768534,0.19407809,0.25472748,0.42727643,0.10669454,0.35547435,0.2559474,0.11331366,0.3313212,1.0000001
