concept,rank,neighbor,neighbor_category,cosine_similarity
football,1,basketball,sport,0.6522355
football,2,volleyball,sport,0.6186046
football,3,hockey,sport,0.61726
football,4,cricket,sport,0.58447564
football,5,tennis,sport,0.5345765
basketball,1,volleyball,sport,0.67680407
basketball,2,football,sport,0.6522355
basketball,3,tennis,sport,0.6306045
basketball,4,hockey,sport,0.5383365
basketball,5,cricket,sport,0.52265406
tennis,1,volleyball,sport,0.6933714
tennis,2,cricket,sport,0.66293114
tennis,3,basketball,sport,0.6306045
tennis,4,football,sport,0.5345765
tennis,5,hockey,sport,0.5121827
cricket,1,tennis,sport,0.66293114
cricket,2,football,sport,0.58447564
cricket,3,volleyball,sport,0.56001
cricket,4,swimming,sport,0.54319966
cricket,5,basketball,sport,0.52265406
swimming,1,running,sport,0.5794288
swimming,2,cycling,sport,0.5652405
swimming,3,cricket,sport,0.54319966
swimming,4,basketball,sport,0.5207322
swimming,5,volleyball,sport,0.5060953
running,1,cycling,sport,0.7256748
running,2,swimming,sport,0.5794288
running,3,cricket,sport,0.4584245
running,4,tennis,sport,0.40536612
running,5,football,sport,0.34864187
volleyball,1,tennis,sport,0.6933714
volleyball,2,basketball,sport,0.67680407
volleyball,3,football,sport,0.6186046
volleyball,4,cricket,sport,0.56001
volleyball,5,hockey,sport,0.51110184
boxing,1,cycling,sport,0.47460818
boxing,2,cricket,sport,0.468203
boxing,3,tennis,sport,0.46370894
boxing,4,basketball,sport,0.42108038
boxing,5,football,sport,0.41467017
cycling,1,running,sport,0.7256748
cycling,2,swimming,sport,0.5652405
cycling,3,cricket,sport,0.49617428
cycling,4,boxing,sport,0.47460818
cycling,5,tennis,sport,0.44382277
hockey,1,football,sport,0.61726
hockey,2,basketball,sport,0.5383365
hockey,3,tennis,sport,0.5121827
hockey,4,volleyball,sport,0.51110184
hockey,5,cricket,sport,0.4795824
pizza,1,pasta,food,0.76587635
pizza,2,burger,food,0.5583344
pizza,3,salad,food,0.5492127
pizza,4,cheese,food,0.5097357
pizza,5,bread,food,0.4725273
pasta,1,pizza,food,0.76587635
pasta,2,cheese,food,0.5359204
pasta,3,rice,food,0.5172201
pasta,4,salad,food,0.50755894
pasta,5,bread,food,0.5037431
burger,1,pizza,food,0.5583344
burger,2,salad,food,0.5539507
burger,3,cheese,food,0.5031142
burger,4,soup,food,0.5005738
burger,5,bread,food,0.48535174
rice,1,pasta,food,0.5172201
rice,2,soup,food,0.49925917
rice,3,salad,food,0.49888176
rice,4,burger,food,0.42069536
rice,5,cheese,food,0.41471505
chocolate,1,cheese,food,0.5362445
chocolate,2,coffee,food,0.47603482
chocolate,3,bread,food,0.4226315
chocolate,4,rice,food,0.36229298
chocolate,5,pasta,food,0.36065203
salad,1,soup,food,0.5899018
salad,2,burger,food,0.5539507
salad,3,pizza,food,0.5492127
salad,4,pasta,food,0.50755894
salad,5,rice,food,0.49888176
soup,1,salad,food,0.5899018
soup,2,burger,food,0.5005738
soup,3,rice,food,0.49925917
soup,4,pasta,food,0.4623086
soup,5,pizza,food,0.43163264
bread,1,pasta,food,0.5037431
bread,2,burger,food,0.48535174
bread,3,pizza,food,0.4725273
bread,4,cheese,food,0.4542123
bread,5,chocolate,food,0.4226315
cheese,1,chocolate,food,0.5362445
cheese,2,pasta,food,0.5359204
cheese,3,pizza,food,0.5097357
cheese,4,burger,food,0.5031142
cheese,5,bread,food,0.4542123
coffee,1,chocolate,food,0.47603482
coffee,2,bread,food,0.4192186
coffee,3,soup,food,0.40096265
coffee,4,pasta,food,0.38032246
coffee,5,burger,food,0.36713195
doctor,1,nurse,profession,0.6764506
doctor,2,teacher,profession,0.57307845
doctor,3,lawyer,profession,0.5452125
doctor,4,journalist,profession,0.45433912
doctor,5,engineer,profession,0.42221975
teacher,1,doctor,profession,0.57307845
teacher,2,lawyer,profession,0.5180033
teacher,3,engineer,profession,0.51511633
teacher,4,nurse,profession,0.506319
teacher,5,journalist,profession,0.5029944
engineer,1,architect,profession,0.619346
engineer,2,programmer,profession,0.6160697
engineer,3,teacher,profession,0.51511633
engineer,4,doctor,profession,0.42221975
engineer,5,lawyer,profession,0.4184567
lawyer,1,doctor,profession,0.5452125
lawyer,2,teacher,profession,0.5180033
lawyer,3,accountant,profession,0.48922515
lawyer,4,journalist,profession,0.4803243
lawyer,5,programmer,profession,0.4671781
chef,1,teacher,profession,0.45112032
chef,2,journalist,profession,0.43980175
chef,3,nurse,profession,0.43768018
chef,4,programmer,profession,0.43666756
chef,5,architect,profession,0.42469674
architect,1,engineer,profession,0.619346
architect,2,programmer,profession,0.4416992
architect,3,chef,profession,0.42469674
architect,4,teacher,profession,0.39009905
architect,5,doctor,profession,0.3227752
nurse,1,doctor,profession,0.6764506
nurse,2,teacher,profession,0.506319
nurse,3,lawyer,profession,0.44978455
nurse,4,chef,profession,0.43768018
nurse,5,journalist,profession,0.4283881
journalist,1,teacher,profession,0.5029944
journalist,2,lawyer,profession,0.4803243
journalist,3,doctor,profession,0.45433912
journalist,4,chef,profession,0.43980175
journalist,5,accountant,profession,0.43539065
programmer,1,engineer,profession,0.6160697
programmer,2,teacher,profession,0.50152516
programmer,3,lawyer,profession,0.4671781
programmer,4,computer,technology,0.44471154
programmer,5,architect,profession,0.4416992
accountant,1,lawyer,profession,0.48922515
accountant,2,journalist,profession,0.43539065
accountant,3,teacher,profession,0.42797822
accountant,4,programmer,profession,0.42156392
accountant,5,chef,profession,0.39153716
happiness,1,sadness,emotion,0.6634201
happiness,2,excitement,emotion,0.6035354
happiness,3,pride,emotion,0.5628915
happiness,4,anger,emotion,0.5295793
happiness,5,love,emotion,0.49027658
sadness,1,happiness,emotion,0.6634201
sadness,2,anger,emotion,0.5744816
sadness,3,disgust,emotion,0.50179213
sadness,4,anxiety,emotion,0.4481266
sadness,5,excitement,emotion,0.42018932
anger,1,disgust,emotion,0.5774751
anger,2,sadness,emotion,0.5744816
anger,3,excitement,emotion,0.54551804
anger,4,happiness,emotion,0.5295793
anger,5,anxiety,emotion,0.4897834
fear,1,anxiety,emotion,0.6650652
fear,2,surprise,emotion,0.49215937
fear,3,excitement,emotion,0.4818226
fear,4,disgust,emotion,0.45872328
fear,5,anger,emotion,0.43303508
surprise,1,excitement,emotion,0.5226042
surprise,2,fear,emotion,0.49215937
surprise,3,disgust,emotion,0.4360928
surprise,4,anger,emotion,0.42109782
surprise,5,anxiety,emotion,0.3718845
disgust,1,anger,emotion,0.5774751
disgust,2,sadness,emotion,0.50179213
disgust,3,fear,emotion,0.45872328
disgust,4,happiness,emotion,0.43739465
disgust,5,surprise,emotion,0.4360928
love,1,happiness,emotion,0.49027658
love,2,sadness,emotion,0.39866912
love,3,pride,emotion,0.38842788
love,4,excitement,emotion,0.37875247
love,5,disgust,emotion,0.3406049
pride,1,happiness,emotion,0.5628915
pride,2,anger,emotion,0.42593437
pride,3,excitement,emotion,0.41726536
pride,4,sadness,emotion,0.4060375
pride,5,love,emotion,0.38842788
anxiety,1,fear,emotion,0.6650652
anxiety,2,excitement,emotion,0.5517078
anxiety,3,anger,emotion,0.4897834
anxiety,4,sadness,emotion,0.4481266
anxiety,5,happiness,emotion,0.37694958
excitement,1,happiness,emotion,0.6035354
excitement,2,anxiety,emotion,0.5517078
excitement,3,anger,emotion,0.54551804
excitement,4,surprise,emotion,0.5226042
excitement,5,fear,emotion,0.4818226
computer,1,software,technology,0.6038102
computer,2,smartphone,technology,0.54327595
computer,3,robot,technology,0.51059693
computer,4,network,technology,0.47537428
computer,5,sensor,technology,0.46677017
smartphone,1,computer,technology,0.54327595
smartphone,2,network,technology,0.43270785
smartphone,3,internet,technology,0.41889453
smartphone,4,software,technology,0.4090087
smartphone,5,sensor,technology,0.39710516
robot,1,computer,technology,0.51059693
robot,2,sensor,technology,0.3691944
robot,3,programmer,profession,0.30145848
robot,4,engineer,profession,0.2876984
robot,5,hockey,sport,0.28703988
internet,1,network,technology,0.5234633
internet,2,computer,technology,0.4283212
internet,3,cloud,technology,0.42727643
internet,4,smartphone,technology,0.41889453
internet,5,software,technology,0.30507264
algorithm,1,computer,technology,0.24438928
algorithm,2,database,technology,0.22598997
algorithm,3,programmer,profession,0.21879767
algorithm,4,software,technology,0.20923945
algorithm,5,robot,technology,0.20583981
database,1,software,technology,0.4121313
database,2,network,technology,0.36067143
database,3,cloud,technology,0.35547435
database,4,computer,technology,0.35362816
database,5,programmer,profession,0.31256393
software,1,computer,technology,0.6038102
software,2,database,technology,0.4121313
software,3,smartphone,technology,0.4090087
software,4,network,technology,0.35433364
software,5,programmer,profession,0.31565303
sensor,1,computer,technology,0.46677017
sensor,2,network,technology,0.4155529
sensor,3,smartphone,technology,0.39710516
sensor,4,robot,technology,0.3691944
sensor,5,software,technology,0.29990178
network,1,internet,technology,0.5234633
network,2,computer,technology,0.47537428
network,3,smartphone,technology,0.43270785
network,4,sensor,technology,0.4155529
network,5,database,technology,0.36067143
cloud,1,internet,technology,0.42727643
cloud,2,database,technology,0.35547435
cloud,3,network,technology,0.3313212
cloud,4,computer,technology,0.31768534
cloud,5,software,technology,0.2559474
